chain,name,pref,area,lat,lng,url,status,first_seen,last_hit,hit_count,note
TOHOシネマズ,TOHOシネマズ日比谷,tokyo,東京都・千代田区,35.6749,139.7599,https://www.tohotheater.jp/theater/081/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ新宿,tokyo,東京都・新宿区,35.6954,139.7018,https://www.tohotheater.jp/theater/076/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ池袋,tokyo,東京都・豊島区,35.7296,139.7147,https://www.tohotheater.jp/theater/084/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ上野,tokyo,東京都・台東区,35.7068,139.7730,https://www.tohotheater.jp/theater/080/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ渋谷,tokyo,東京都・渋谷区,35.6580,139.6982,https://www.tohotheater.jp/theater/043/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ六本木ヒルズ,tokyo,東京都・港区,35.6603,139.7296,https://www.tohotheater.jp/theater/009/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ西新井,tokyo,東京都・足立区,35.7748,139.7858,https://www.tohotheater.jp/theater/040/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ川崎,kanagawa,神奈川県・川崎市川崎区,35.5308,139.6966,https://www.tohotheater.jp/theater/010/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ海老名,kanagawa,神奈川県・海老名市,35.4497,139.3897,https://www.tohotheater.jp/theater/007/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ市川コルトンプラザ,chiba,千葉県・市川市,35.7241,139.9207,https://www.tohotheater.jp/theater/003/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズららぽーと船橋,chiba,千葉県・船橋市,35.6764,139.9847,https://www.tohotheater.jp/theater/018/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ柏,chiba,千葉県・柏市,35.8340,139.9660,https://www.tohotheater.jp/theater/077/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズ市原,chiba,千葉県・市原市,35.4890,140.0910,https://www.tohotheater.jp/theater/071/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズららぽーと富士見,saitama,埼玉県・富士見市,35.8462,139.5460,https://www.tohotheater.jp/theater/075/index.html,active,2026-08-02,,0,
TOHOシネマズ,TOHOシネマズひたちなか,ibaraki,茨城県・ひたちなか市,36.3915,140.5323,https://www.tohotheater.jp/theater/024/index.html,active,2026-08-02,,0,
